ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
COLEGIO CRISTIANO CARES,01-15-0463-46,01-221,GUATEMALA,VILLA NUEVA,"3A. CALLE REAL 8-72, ZONA 2 SAN JOSE VILLA NUEVA",66299540,ARGELIA DE JESUS ACOSTA SOZA,SILVIA ANTONIETA GARCÍA GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO CRISTIANO CARES
COLEGIO CRISTIANO CATLICO JUAN PABLO II,"04-01-0232-46, 04-01-0366-46",04-002,CHIMALTENANGO,CHIMALTENANGO,"2A. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA, 2DA.. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA","77283387, 78494357",EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,JUAN JOSÉ SAPUT MARTINEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA",DIARIO(REGULAR),CHIMALTENANGO,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II
COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,17-01-0139-46,17-030,PETEN,FLORES,8ª. AVENIDA 3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES,77970526,RODOLFO MEDINA,CARLOS ENRIQUE AUGUST VELIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI
COLEGIO CRISTIANO CRISTO VIENE YA,"20-08-0004-46, 20-08-0025-46",20-040,CHIQUIMULA,CONCEPCION LAS MINAS,"COLONIA BETHEL ALDEA LA ERMITA, COLONIA BETHEL, ALDEA LA ERMITA",79437534,SONIA FAVIOLA FRANCO GARCÍA,EVER AROLDO CORTEZ GUERRA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"SIN JORNADA, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL (UN DÍA A LA SEMANA)",CHIQUIMULA,COLEGIO CRISTIANO CRISTO VIENE YA
COLEGIO CRISTIANO EDUCOM,"11-08-0052-46, 11-08-0054-46, 11-08-0056-46, 11-08-0059-46, 11-08-0077-46","11-017, 11-018",RETALHULEU,NUEVO SAN CARLOS,"COLONIA MORAN, COLONIA MORÁN",55476808,"MIGUEL ANGEL ARMAS ROCHA, MIRTA ALIDA CASTELLANOS MARROQUIN","LILIAN PATRICIA ALVARADO HERNÁNDEZ, RUBÉN ISAÍ MALDONADO RODAS",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",RETALHULEU,COLEGIO CRISTIANO EDUCOM
COLEGIO CRISTIANO EL HASHAMAYIM,"17-01-0091-46, 17-01-0155-46",17-030,PETEN,FLORES,"7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES, SANTA ELENA DE LA CRUZ",79261812,RODOLFO MEDINA,JORGE ULICES RUANO CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, VESPERTINA",DIARIO(REGULAR),PETÉN,"COLEGIO CRISTIANO ""EL-HASHAMAYIM"", COLEGIO CRISTIANO EL HASHAMAYIM"
COLEGIO CRISTIANO EL LABRADOR,13-12-0001-46,13-026,HUEHUETENANGO,LA DEMOCRACIA,ALDEA VALPARAISO,33250100,ABELARDO MEFIBOSET VILLATORO HERRERA,GLEYCEE ALONDRA RODRÍGUEZ DE LEÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,"COLEGIO CRISTIANO ""EL LABRADOR"""
COLEGIO CRISTIANO EL OLIVO,01-15-0655-46,01-214,GUATEMALA,VILLA NUEVA,"6A. AVENIDA 8-90 ZONA 2, SAN JOSE",66353256,HECTOR RAUL ESCUN VIDES,ZOILA EUGENIA SANTIZO MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO CRISTIANO EL OLIVO
COLEGIO CRISTIANO EL SHADDAI,12-02-0182-46,12-006,SAN MARCOS,SAN PEDRO SACATEPEQUEZ,"8A. CALLE 9-30 ZONA 1, CANTÓN LA PARROQUIA",77679788,LUIS ALFREDO MAZARIEGOS SCOT,EDNA LETICIA REYES CORTEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,COLEGIO CRISTIANO EL SHADDAI
COLEGIO CRISTIANO EL VALLE DEL SUR,"11-05-0044-46, 11-05-0045-46, 11-05-1437-46, 11-05-1438-46","11-017, 11-018",RETALHULEU,SAN FELIPE,"2 CALLE 8-57 ZONA 1, 2A. CALLE ZONA 1, BARRIO CAMILO ALVARADO",77759040,"MIGUEL ANGEL ARMAS ROCHA, MIRTA ALIDA CASTELLANOS MARROQUIN","BLANCA ADELY VILLEDA GÓMEZ, DORIS ELIZABETH MEJIA RAMOS",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",RETALHULEU,COLEGIO CRISTIANO EL VALLE DEL SUR
COLEGIO CRISTIANO ELIM,"01-08-0799-46, 01-08-1029-46, 01-08-1030-46, 01-08-2998-46, 01-08-9559-46, 12-15-0211-46, 12-15-0212-46, 12-15-0214-46, 16-01-1002-46","01-603, 12-133, 16-031","ALTA VERAPAZ, GUATEMALA, SAN MARCOS","COBAN, MALACATAN, MIXCO","3A. AV. 11-42 ZONA 3, COLONIA EL ROSARIO ZONA 3 MIXCO, 3A. AVENIDA 11-42 COLONIA EL ROSARIO, ZONA 3, 3A. AVENIDA 11-42 ZONA 3, 3ERA. AVENIDA 11-42 COLONIA EL ROSARIO ZONA 3, 5TA CALLE 6-36 ZONA 2, 5TA. CALLE 6-36 ZONA 2, DIAGONAL 3, 11-04, ZONA 2","2437011, 24370113, 44779923, 77772197","PATRICIO NAJARRO ASENCIO, ROLANDO RENE FUENTES MIRANDA, ROSA ALBELIA ARDON DE MOTTA","JULIO ROBERTO GONZÁLEZ, MARIA DEL CARMEN GONZÁLEZ ALVAREZ, MARÍA DEL CARMEN GONZÁLEZ DE MARTÍNEZ, SELVIN DARIO ROSALES AGUIRRE",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA), VIRTUAL A DISTANCIA","ALTA VERAPAZ, GUATEMALA OCCIDENTE, SAN MARCOS","COLEGIO CRISTIANO ""ELIM"", COLEGIO CRISTIANO ELIM"
COLEGIO CRISTIANO EMANUEL,"05-02-0118-46, 05-02-0237-46, 05-02-0238-46, 05-02-0239-46, 05-14-0037-46, 05-14-0041-46, 05-14-0046-46, 05-14-0048-46, 10-14-0071-46, 10-14-0081-46, 10-14-0082-46","05-007, 05-029, 10-017","ESCUINTLA, SUCHITEPEQUEZ","PATULUL, SANTA LUCIA COTZUMALGUAPA, SIPACATE","0 CALLE 1A AVENIDA, LOTE 6 COLONIA VINICIO CEREZO ARÉVALO, 0 CALLE 1A. AVENIDA LOTE 6 COLONIA VINICIO CEREZO ARÉVALO, 0 CALLE 1RA. AVENIDA LOTE NO. 06 COLONIA VINICIO CEREZO ARÉVALO, 1A CALLE LOTE 10 COLONIA EL BILBAO ZONA 1., 1A. CALLE LOTE NO. 10 COLONIA EL BILBAO, ZONA 1, 1RA. CALLE. LOTE NO. 10, COLONIA EL BILBAO, ZONA 1., 3A CALLE Y 1A AVENIDA LOTE 6 COLONIA VINICIO CEREZO ARÉVALO, CALLE VALENTIN BRESSANI, CALLE VALENTIN BRESSANI, ENTRADA A CAMINO A CANADÁ, CALLE VALENTIN BRESSANI, ENTRADA CAMINO A CANADA","42781085, 54621483, 58266906, 58269606, 78719889, 79333942","ELMO ROGELIO RODRIGUEZ ORELLANA, JUAN FRANCISCO GODOY DAVILA, MILVIA MERCEDEZ VASQUEZ MORALES DE VALLADARES","BLANCA ESTELA RUANO, INGRID YANETH OSORIO CAMPOS, JENNYFER AZUCENA AXULEN RAMOS, JOSÉ CRUZ MÉNDEZ HERNÁNDEZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA), SEMIPRESENCIAL (UN DÍA A LA SEMANA)","ESCUINTLA, SUCHITEPÉQUEZ","COLEGIO CRISTIANO ""EMANUEL"", COLEGIO CRISTIANO EMANUEL., COLEGIO CRISTIANO EMMANUEL, COLEGIO CRISTIANO EMMANUEL."
COLEGIO CRISTIANO ENSENADA DEL QUETZAL,01-10-0197-46,01-647,GUATEMALA,SAN JUAN SACATEPEQUEZ,"KILOMETRO 26.5 CARRETERA A SAN RAYMUNDO, RESIDENCIALES ENSENADA DEL QUETZAL",38193457,VINICIO ARNOLDO NAJERA CARDONA,DELIA ESPERANZA BAJXAC GARCIA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO ENSENADA DEL QUETZAL
COLEGIO CRISTIANO ESTRELLA DE DAVID,01-08-0740-46,01-601,GUATEMALA,MIXCO,AVENIDA LA BRIGADA 5-33 ZONA 7 COLONIA BELEN MIXCO,53225823,CLAUDIO DANIEL YAC OROZCO,JULIO CÉSAR MORALES SACU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO ESTRELLA DE DAVID
COLEGIO CRISTIANO FUENTE DEL XITO,00-18-0158-46,01-106,CIUDAD CAPITAL,ZONA 18,5A. CALLE E 60-48 RESIDENCIALES PINARES DEL NORTE,22422271,CESAR ARNOLDO MARTINEZ GARCIA,DORCAS EUNICE MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO CRISTIANO FUENTE DEL ÉXITO
COLEGIO CRISTIANO GALILEA,16-13-0265-46,16-024,ALTA VERAPAZ,CHISEC,COMUNIDAD SAN SIMON II,57405697,CESAR ROLANDO CHOCOOJ YALIBAT,HEIDY ROXANA TEPAZ RAMIREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO CRISTIANO GALILEA
COLEGIO CRISTIANO GENERACIN DEL TERCER MILENIO,"12-27-0015-46, 12-27-0017-46, 12-27-0018-46, 12-27-0028-46, 12-27-0029-46",12-101,SAN MARCOS,ESQUIPULAS PALO GORDO,"CABECERA MUNICIPAL, CANTON BETHANIA, ZONA 5, CANTÓN BETHANIA",46524564,VERÓNICA ESPERANZA AGUILAR GÓMEZ,"ARNOLDO RENÉ MÉRIDA DE LEÓN, MARTHA VENANCIA DE LEÓN ESCOBAR",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,"COLEGIO CRISTIANO GENERACION DEL TERCER MILENIO, COLEGIO CRISTIANO GENERACIÓN DEL TERCER MILENIO"
COLEGIO CRISTIANO GENESIS,09-01-3417-46,09-036,QUETZALTENANGO,QUETZALTENANGO,6A. CALLE 18-63 ZONA 3,77368015,OBDULIO ROLANDO RUIZ ALVA,ODILIA CATALINA SOLIS ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CRISTIANO GENESIS
COLEGIO CRISTIANO GERIZIM,04-01-0370-46,04-002,CHIMALTENANGO,CHIMALTENANGO,"1A. CALLE 11-43, ALDEA BUENA VISTA, ZONA 8",78404728,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,KARINA NOEMÍ MONTUFAR ECHEVERRIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,"COLEGIO CRISTIANO ""GERIZIM"""
COLEGIO CRISTIANO HERMOSO JESUS,01-15-0178-46,01-212,GUATEMALA,VILLA NUEVA,"1A. CALLE 6-91, ZONA 6",66368660,HAROLDO ENRIQUE NAVAS PAZ,EVA MARIA ALVAREZ SANCHINELLI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO CRISTIANO HERMOSO JESUS
COLEGIO CRISTIANO INTEGRAL ISRAEL,11-01-0188-46,11-017,RETALHULEU,RETALHULEU,"1A. CALLE 8-90, CANTON TABLEROS, ZONA 5",42265485,MIGUEL ANGEL ARMAS ROCHA,HIOVANY ALEJANDRO ALVAREZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU,COLEGIO CRISTIANO INTEGRAL ISRAEL
COLEGIO CRISTIANO INTERNACIONAL MISIONERO LOS ROBLES,04-01-0326-46,04-001,CHIMALTENANGO,CHIMALTENANGO,1A. CALLE 14-724 ZONA 6,47085296,ABIMAEL ACUTA ABAJ,BLANCA NIEVES PORRAS PINEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,CHIMALTENANGO,"COLEGIO CRISTIANO INTERNACIONAL MISIONERO ""LOS ROBLES"""
COLEGIO CRISTIANO ISRAEL,16-15-0170-46,16-028,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,"ZONA 0, CALZADA ISRAEL 1",58831754,AURELIO CHÓ MAQUÍN,ALBA ARGENTINA DE PAZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO CRISTIANO ISRAEL
COLEGIO CRISTIANO JESS DE NAZARETH,"01-08-0803-46, 01-08-9151-46",01-401,GUATEMALA,MIXCO,"3A. CALLE 5-37 ZONA 3 COLONIA NUEVA MONSERRAT, 3A. CALLE 5-37 ZONA 3, COLONIA NUEVA MONSERRAT",24310466,IXMUCANE ALDANA VILLAVICENCIO,ENMA DEONICIA CULAJAY COTOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA OCCIDENTE,"COLEGIO CRISTIANO JESUS DE NAZARETH, COLEGIO CRISTIANO JESÚS DE NAZARETH"
COLEGIO CRISTIANO JIREH,09-22-0027-46,09-034,QUETZALTENANGO,FLORES COSTA CUCA,CENTRO URBANO DEL MUNICIPIO DE FLORES COSTA CUCA,44891901,ANA MARGARITA LLARENA GARCÍA,JUAN CARLOS LUIS MIRANDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,"COLEGIO CRISTIANO ""JIREH"""
COLEGIO CRISTIANO KAIROS,03-12-0078-46,03-007,SACATEPEQUEZ,CIUDAD VIEJA,3RA. CALLE 1-31 ZONA 1,78887757,MARLIS BERZABE REYES REYES,DANILO RENÉ GARCÍA BARRUTIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO CRISTIANO KAIROS
COLEGIO CRISTIANO LA ESTRELLA,01-10-7378-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,"MANZANA 20, LOTES 4 Y 5 COLONIA LA ESTRELLA, CIUDAD QUETZAL",58567861,MARIO ALEJANDRO NAJARRO GARCIA SALAS,MIRNA SUSANA CATALÁN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO LA ESTRELLA
COLEGIO CRISTIANO LICEO INFORMTICO MANUEL,"09-09-0091-46, 09-09-0092-46, 09-09-0097-46, 09-09-0111-46",09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,"7A CALLE A 2-30 ZONA 4, 7A. CALLE ""A"" 2-30 ZONA 4",77625721,JAIME IVAN GODINEZ VELASQUEZ,"ELVIN JACOB MALDONADO DÍAZ, MARILYN ELIZABETH GONZALEZ DIAZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",QUETZALTENANGO,COLEGIO CRISTIANO LICEO INFORMÁTICO MANUEL
COLEGIO CRISTIANO LOS BRAZOS DE JESS,04-14-0029-46,04-025,CHIMALTENANGO,PARRAMOS,CANTÓN LA UNIÓN,78499334,SURAMA LISSETH RAMÍREZ LÓPEZ,PEDRO FRANCISCO CHICOL ITZOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,COLEGIO CRISTIANO LOS BRAZOS DE JESÚS
COLEGIO CRISTIANO MAANA GLORIOSA,"01-11-0039-46, 01-11-0054-46",01-613,GUATEMALA,SAN RAYMUNDO,ALDEA LLANO DE LA VIRGEN,"30267090, 51663394",RONY ESTUARDO AREVALO CASTILLO,HEYSON EDMUNDO MANZO BHOR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"MATUTINA, VESPERTINA",DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO MAÑANA GLORIOSA
COLEGIO CRISTIANO MACEDONIA,01-10-0219-46,01-647,GUATEMALA,SAN JUAN SACATEPEQUEZ,"GRANJA ALEJANDRA LOTE 3, ENTRADA A LO DE MEJIA, CIUDAD QUETZAL SAN JUAN SACATEPÉQUEZ",51191860,VINICIO ARNOLDO NAJERA CARDONA,VILMA LIZETH COTZOJAY NOJ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO MACEDONIA
COLEGIO CRISTIANO MAN REGALOS DE AMOR,05-08-0060-46,05-014,ESCUINTLA,GUANAGAZAPA,KILOMETRO 81 CARRETERA A TAXISCO ALDEA BRITO FRENTE A GRANJAS SAN PABLO,31106920,JENIFER LISSETH GODINEZ SAMAYOA,EDRAS DANIEL BLANCO IBARRA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,COLEGIO CRISTIANO MANÁ REGALOS DE AMOR
COLEGIO CRISTIANO MARANATHA,"11-08-0064-46, 11-08-0066-46, 11-08-0071-46, 11-08-0081-46, 18-01-0168-46","11-017, 11-018, 18-008","IZABAL, RETALHULEU","NUEVO SAN CARLOS, PUERTO BARRIOS","6TA AV. 04-003 ZONA1, 7A. AVENIDA ENTRE 16A. Y 17A. CALLES, COLONIA MORAN ZONA 1, COLONIA MORÁN","31375946, 32602846, 41230783, 79429136","ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA, MIGUEL ANGEL ARMAS ROCHA, MIRTA ALIDA CASTELLANOS MARROQUIN","CHRISTIAN MANUEL LÓPEZ ORTEGA, EDY RENATO DE LEÓN LOL, MARÍA ANTONIA OSORIO OLIVA, SHIRLEY NAYELI DÍAZ LÓPEZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)","IZABAL, RETALHULEU","COLEGIO CRISTIANO ""MARANATHA"", COLEGIO CRISTIANO MARANATHA"
COLEGIO CRISTIANO MIXTO ALELUYA,03-07-0022-46,03-010,SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,KILOMETRO 32 CARRETERA INTERAMERICANA,78312329,OSCAR HUMBERTO SUBUYUJ GIL,FLOR LOURDES CHICOL SIPAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO CRISTIANO MIXTO ALELUYA
COLEGIO CRISTIANO MIXTO ALFA Y OMEGA,09-09-0080-46,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,1RA. CALLE 5-45 ZONA 4,77638772,JAIME IVAN GODINEZ VELASQUEZ,RANDY YOARTI TORIBIO CHICHÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CRISTIANO MIXTO ALFA Y OMEGA
COLEGIO CRISTIANO MIXTO BETHEL,"12-16-0043-46, 12-16-0044-46, 12-16-0045-46, 12-16-0049-46",12-037,SAN MARCOS,CATARINA,ALDEA EL TECOMATE,53409424,CESAR AUGUSTO AMBROCIO GUTIERREZ,IRIDA ELIZET BAUTISTA OROZCO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,COLEGIO CRISTIANO MIXTO BETHEL
COLEGIO CRISTIANO MIXTO BILINGUE EL OLIMPO,09-01-0369-46,09-041,QUETZALTENANGO,QUETZALTENANGO,1A. AVENIDA 0-45 ZONA 9,42486699,WILSON RANFERI SIGUENZA LOPEZ,EDIN ISRAEL IXQUIAC CANIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,"COLEGIO CRISTIANO MIXTO BILINGUE ""EL OLIMPO"""
COLEGIO CRISTIANO MIXTO BILINGUE MI DULCE PARAISO,18-01-0368-46,18-008,IZABAL,PUERTO BARRIOS,"4A, CALLE 15 AVENIDA, COLONIA SAN AGUSTIN, ALDEA SANTO TOMAS DE CASTILLA",79524378,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MAGGIE SHAUNNY MUÑOZ SALGUERO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,"COLEGIO CRISTIANO MIXTO BILINGUE ""MI DULCE PARAISO"""
COLEGIO CRISTIANO MIXTO BLESSING,11-01-0436-46,11-017,RETALHULEU,RETALHULEU,"9AV. 7-30 ZONA 4, CANTON PERU",55114823,MIGUEL ANGEL ARMAS ROCHA,OSCAR DANIEL SIGUENZA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,COLEGIO CRISTIANO MIXTO BLESSING
COLEGIO CRISTIANO MIXTO HISPANOAMERICANO CON ORIENTACIN EN COMPUTACIN,"09-02-0028-46, 09-02-0041-46",09-009,QUETZALTENANGO,SALCAJA,5TA. AVENIDA 3-45 ZONA 2,41106060,INGRID MIRTHALA LOPEZ GALINDO,ILIANA MARINÉ ALVAREZ COS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",QUETZALTENANGO,"COLEGIO CRISTIANO MIXTO ""HISPANOAMERICANO"" CON ORIENTACION EN COMPUTACION, COLEGIO CRISTIANO MIXTO ""HISPANOAMERICANO"" CON ORIENTACIÓN EN COMPUTACIÓN"
COLEGIO CRISTIANO MIXTO PRE UNIVERSITARIO PESTALOZZI,"09-01-0469-46, 09-01-3293-46",09-006,QUETZALTENANGO,QUETZALTENANGO,"8A. CALLE 5-13 ZONA 1, 8ª CALLE 5-13 ZONA 1",77669611,PEDRO GERÓNIMO SARAT CHAJ,BETTY AMELIA ARGUETA CHUN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA",DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CRISTIANO MIXTO PRE-UNIVERSITARIO PESTALOZZI
COLEGIO CRISTIANO MIXTO SHALOM,"09-20-0034-46, 09-20-0079-46",09-031,QUETZALTENANGO,COATEPEQUE,"KILOMETRO 1, CARRETERA A CHUATUJ,, KILÓMETRO 1 RUTA A NUEVO CHUATUJ,","33080475, 59404336",YOMAR EFRAIN FLORES BARBERENA,"ARACELY ESPERANZA MAZARIEGOS BARRIOS, SANDRA YOLANDA VILLAGRÁN OCHOA",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, MATUTINA","DIARIO(REGULAR), FIN DE SEMANA",QUETZALTENANGO,"COLEGIO CRISTIANO MIXTO ""SHALOM"""
COLEGIO CRISTIANO MONTE MORIAH,05-01-0387-46,05-033,ESCUINTLA,ESCUINTLA,2DA. AVENIDA 3-80 ZONA 3 COLONIA AGUAS VIVAS,77254128,REMY ARTURO SINAY GUDIEL,MELY NOHEMÍ MEJÍA CASTILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,COLEGIO CRISTIANO MONTE MORIAH
COLEGIO CRISTIANO MONTECRISTO,09-04-0037-46,09-011,QUETZALTENANGO,SAN CARLOS SIJA,4TA. AVENIDA 7-27 ZONA 1,58183512,WILFREDO PIOX TECÚ,ALMA CONSUELO REYES MALDONADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CRISTIANO MONTECRISTO
COLEGIO CRISTIANO NICOLS,"14-11-0071-46, 14-13-0114-46",14-041,QUICHE,"NEBAJ, SAN JUAN COTZAL","CASERÍO CHACALÁ, CASERÍO VIKOLÁ, ALDEA RIO AZUL",30355886,MIGUEL CHEL CORIO,PETRONILA ELIZABETH RAMOS,DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, MATUTINA",DIARIO(REGULAR),QUICHÉ,COLEGIO CRISTIANO NICOLÁS
